date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:43	130044/130044	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1f-8c4c%22	https://vk.com/js/cmodules/bundles/audioplayer.2f2a9e9e1033b710cdfc.js?cd5c9af25207f6870c7c	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/audioplayer.2f2a9e9e1033b710cdfcb667.js	(from https://vk.com/login)
09:56:44	580776/580776	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-2a620%22	https://vk.com/js/cmodules/bundles/common.b4f0b5149370f45d6bc4.js?1745f27d4d863d4d7c4d	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/common.b4f0b5149370f45d6bc449a6.js	(from https://vk.com/login)
09:56:45	58144/58144	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e23-4c5b%22	https://vk.com/js/cmodules/web/common_web.6969ffacf4e3402bf177.js?41a81fd0a05f119e81520d2b7e16becb	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/common_web.6969ffacf4e3402bf177b6b4.js	(from https://vk.com/login)
09:56:45	31422/31422	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202020%2013:56:37%20GMT	https://vk.com/js/lang3_0.js?26456516	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/lang3_00e5a.js	(from https://vk.com/login)
09:56:46	307/307	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-e7%22	https://vk.com/js/lib/px.js?ch=1	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/lib/pxf60c.js	(from https://vk.com/login)
09:56:47	307/307	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-e7%22	https://vk.com/js/lib/px.js?ch=2	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/lib/px8a10.js	(from https://vk.com/login)
09:56:48	137803/137803	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-a928%22	https://vk.com/js/cmodules/bundles/vendors.70cc452207d7ab2329a5.js?1d1c845c51f848b67a36	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/vendors.70cc452207d7ab2329a51fc0.js	(from https://vk.com/login)
09:56:49	5269/5269	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1f-7a1%22	https://vk.com/js/cmodules/bundles/bf702a1d1838ef404d188c8765291b8b.e4bb183defbe4fc0fdbb.js?f6a623b342102b8f8a93	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/bf702a1d1838ef404d188c8765291b8b.e4bb183defbe4fc0fdbb2f7d.js	(from https://vk.com/login)
09:56:50	38144/38144	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e22-2ab1%22	https://vk.com/js/cmodules/web/login.31942764ac547ab5f1e1.js?84a07370816451a6777cf0b409ee0ee0	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/login.31942764ac547ab5f1e1b374.js	(from https://vk.com/login)
09:56:51	3344/3344	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e22-631%22	https://vk.com/js/cmodules/web/jobs_devtools_notification.4df10ae32f805993d431.js?d49c6c2f1edadd7f58fc443a53597c6a	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/jobs_devtools_notification.4df10ae32f805993d431b3d4.js	(from https://vk.com/login)
09:56:52	2703/2703	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e22-46f%22	https://vk.com/js/cmodules/web/page_layout.74b6a1e8a066891ffa6a.js?a79fa6f5402f462d974f	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/page_layout.74b6a1e8a066891ffa6a7daf.js	(from https://vk.com/login)
09:56:53	18661/18661	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-1259%22	https://vk.com/js/cmodules/bundles/40078178da81a2a294c33d2feddcc76c.bc8473a712e22f821a5d.js?93299476685236438c18	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/40078178da81a2a294c33d2feddcc76c.bc8473a712e22f821a5d9127.js	(from https://vk.com/login)
09:56:54	18400/18400	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1f-11a6%22	https://vk.com/js/cmodules/bundles/2bddcf8eba73bbb0902e1b2f9d33962b.398943f516a729749eb0.js?a346646ed8db83f74021	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/2bddcf8eba73bbb0902e1b2f9d33962b.398943f516a729749eb0e2b9.js	(from https://vk.com/login)
09:56:55	44696/44696	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e22-2d60%22	https://vk.com/js/cmodules/web/ui_common.c651bb427c7f566d4b04.js?7d8603dda26eb5b7b3d6f0302b83c540	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/ui_common.c651bb427c7f566d4b0486cb.js	(from https://vk.com/login)
09:56:56	8625/8625	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e1e-dc2%22	https://vk.com/js/cmodules/bundles/f8a3b0b69a90b5305d627c89f0bd674e.0ddcf139530f9eca6bfb.js?55d06b92f78d1803b139	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/bundles/f8a3b0b69a90b5305d627c89f0bd674e.0ddcf139530f9eca6bfb6e18.js	(from https://vk.com/login)
09:56:57	1733/1733	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e22-38f%22	https://vk.com/js/cmodules/web/likes.e06fa24ccc77d308d77a.js?6c7adaa3514b1e8e2d88b756ef0dd6a2	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/likes.e06fa24ccc77d308d77a4b1c.js	(from https://vk.com/login)
09:56:58	28394/28394	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9d8e23-1e8f%22	https://vk.com/js/cmodules/web/grip.4e3739b310753afb9593.js?77cc88636dab4d4ab43fe764d6c1db18	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/cmodules/web/grip.4e3739b310753afb9593589c.js	(from https://vk.com/login)
09:56:59	39940/39940	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:51%20GMT	https://vk.com/al_index.php	/home/xuser/IdeaProjects/phishex/httrack/vk.com/al_index.html	(from https://vk.com/login)
09:57:01	40129/40129	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:52%20GMT	https://vk.com/	/home/xuser/IdeaProjects/phishex/httrack/vk.com/index.html	(from https://vk.com/login)
09:57:02	42723/42723	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:53%20GMT	https://vk.com/join	/home/xuser/IdeaProjects/phishex/httrack/vk.com/join.html	(from https://vk.com/login)
09:57:02	40128/40128	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:54%20GMT	https://vk.com/join.php	/home/xuser/IdeaProjects/phishex/httrack/vk.com/join-2.html	(from https://vk.com/login)
09:57:03	39174/39174	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:55%20GMT	https://vk.com/restore	/home/xuser/IdeaProjects/phishex/httrack/vk.com/restore.html	(from https://vk.com/login)
09:57:04	18531/18531	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:56%20GMT	https://vk.com/about	/home/xuser/IdeaProjects/phishex/httrack/vk.com/about.html	(from https://vk.com/login)
09:57:05	60614/60614	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:57%20GMT	https://vk.com/support?act=home	/home/xuser/IdeaProjects/phishex/httrack/vk.com/supporte04c.html	(from https://vk.com/login)
09:57:06	86404/86404	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:58%20GMT	https://vk.com/terms	/home/xuser/IdeaProjects/phishex/httrack/vk.com/terms.html	(from https://vk.com/login)
09:57:07	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2020%20Apr%202020%2013:56:59%20GMT	https://vk.com/ads	/home/xuser/IdeaProjects/phishex/httrack/vk.com/ads	(from https://vk.com/login)
09:57:08	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2020%20Apr%202020%2013:57:00%20GMT	https://vk.com/adscreate	/home/xuser/IdeaProjects/phishex/httrack/vk.com/adscreate	(from https://vk.com/login)
09:57:09	60799/60799	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:57:01%20GMT	https://vk.com/dev	/home/xuser/IdeaProjects/phishex/httrack/vk.com/dev.html	(from https://vk.com/login)
09:57:10	34280/34280	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:57:02%20GMT	https://vk.com/jobs	/home/xuser/IdeaProjects/phishex/httrack/vk.com/jobs.html	(from https://vk.com/login)
09:57:11	34291/34291	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202020%2013:57:03%20GMT	https://vk.com/lang.php	/home/xuser/IdeaProjects/phishex/httrack/vk.com/lang.php	(from https://vk.com/login)
